Sample,Study,Disease/Tissue,TNF,MS4A1,EGFR,VEGFA,ERBB2,CTLA4,PDCD1,IL6,TNFSF11,PCSK9
TCGA-06-5412-01,TCGA,Glioblastoma Multiforme,5.716,3.365,10.8,13.18,8.417,4.674,4.469,7.898,3.365,0.8841
GTEX-P4PQ-0126-SM-2S1NM,GTEX,Skin,3.383,0.0,12.8,11.42,13.1,3.383,4.524,4.524,0.0,4.312
TCGA-BP-4989-01,TCGA,Kidney Clear Cell Carcinoma,5.75,9.227,13.3,16.72,11.23,7.487,9.922,3.933,6.352,0.7772
TCGA-EJ-8468-01,TCGA,Prostate Adenocarcinoma,4.516,4.583,11.8,13.25,13.25,5.374,5.214,7.46,2.098,1.066
TCGA-CZ-5459-01,TCGA,Kidney Clear Cell Carcinoma,3.395,4.677,13.23,15.67,11.89,5.649,7.094,9.382,4.961,0.8425
TCGA-D5-5538-01,TCGA,Colon Adenocarcinoma,6.589,5.769,9.789,12.46,12.54,6.373,5.727,8.023,6.577,9.902
TCGA-KP-A3W3-01,TCGA,Uterine Corpus Endometrioid Carcinoma,7.346,2.262,9.957,11.17,12.27,5.227,6.388,5.366,5.105,5.948
GTEX-1122O-0426-SM-5H12G,GTEX,Artery,4.457,2.917,11.72,9.629,12.26,1.857,3.522,3.818,0.0,2.302
TCGA-CZ-5468-11,TCGA,Kidney Clear Cell Carcinoma,3.717,2.578,12.18,11.59,14.36,1.41,3.033,6.674,1.683,3.591
TCGA-BH-A0BQ-11,TCGA,Breast Invasive Carcinoma,5.244,7.55,12.8,11.7,12.99,4.643,4.932,7.191,10.93,4.746
GTEX-1399Q-0005-SM-5NQAG,GTEX,Whole Blood,7.777,10.52,2.829,11.14,9.205,7.113,8.302,2.019,2.48,1.337
TCGA-4X-A9FA-01,TCGA,Thymoma,4.386,6.15,12.38,10.48,10.96,5.512,7.318,4.413,2.844,0.0
TCGA-DD-AAW0-01,TCGA,Liver Hepatocellular Carcinoma,3.844,4.882,12.2,11.99,12.1,4.594,5.564,3.751,6.478,11.22
GTEX-11EI6-0826-SM-5985V,GTEX,Lung,6.235,8.451,10.94,14.1,11.95,8.69,6.382,7.946,2.081,7.401
GTEX-11EI6-3126-SM-5H111,GTEX,Pituitary,3.403,5.332,9.907,13.65,12.7,6.026,5.463,11.93,0.9693,4.894
TARGET-50-PAJMSE-01,TARGET,Wilms Tumor,2.594,1.328,8.588,10.55,13.33,1.815,2.816,4.166,4.868,1.328
GTEX-QV44-1726-SM-4R1KG,GTEX,Testis,4.121,6.127,10.81,9.729,11.18,7.099,4.251,5.007,6.635,6.317
GTEX-111VG-1926-SM-5GIDO,GTEX,Testis,1.645,6.11,8.854,8.852,12.01,7.144,2.394,5.131,5.97,7.186
TCGA-BR-4292-01,TCGA,Stomach Adenocarcinoma,5.065,7.77,12.41,12.86,13.18,7.723,7.72,7.773,6.857,5.475
TCGA-AA-3511-01,TCGA,Colon Adenocarcinoma,5.023,5.145,11.74,12.18,13.23,5.459,4.346,4.991,5.793,8.462
TCGA-Z7-A8R5-01,TCGA,Breast Invasive Carcinoma,5.33,9.051,10.02,11.04,13.61,5.645,5.645,9.159,3.932,5.196
TCGA-GV-A3QK-01,TCGA,Bladder Urothelial Carcinoma,5.879,6.177,10.1,13.16,15.39,8.253,6.346,7.696,7.205,2.075
GTEX-S341-0326-SM-2XCAU,GTEX,Lung,2.683,8.102,12.35,12.29,11.76,6.44,6.122,4.032,0.0,9.748
TCGA-39-5031-01,TCGA,Lung Squamous Cell Carcinoma,6.708,8.183,13.04,12.36,12.13,7.488,6.776,8.356,5.064,10.47
GTEX-N7MS-2625-SM-3LK77,GTEX,Pituitary,2.968,6.003,9.127,11.52,11.86,6.739,7.085,9.41,1.436,3.49
TCGA-ZG-A8QW-01,TCGA,Prostate Adenocarcinoma,4.507,4.376,11.46,12.51,13.22,6.323,5.475,6.738,1.574,4.443
TCGA-DU-7302-01,TCGA,Brain Lower Grade Glioma,4.407,0.6577,13.69,9.786,9.812,1.45,0.6577,0.0,0.0,1.45
TCGA-DJ-A3UX-01,TCGA,Thyroid Carcinoma,5.062,7.825,12.68,13.96,13.27,7.537,6.956,10.45,4.059,1.057
TARGET-30-PATGLU-01,TARGET,Neuroblastoma,6.383,6.263,7.901,13.36,9.472,5.467,5.489,9.021,2.113,1.872
GTEX-OHPJ-0926-SM-2HMJ1,GTEX,Heart,4.747,4.189,10.56,11.97,12.32,4.495,5.778,4.008,0.0,1.658
GTEX-13O61-0326-SM-5KM2O,GTEX,Artery,3.416,3.243,11.68,11.15,12.4,4.722,5.311,8.892,0.0,6.315
TCGA-ZN-A9VQ-01,TCGA,Mesothelioma,3.162,0.6135,11.95,14.11,13.22,5.941,6.818,6.396,1.868,4.863
TCGA-EI-6512-01,TCGA,Rectum Adenocarcinoma,4.739,2.192,10.59,12.73,12.42,5.567,4.814,4.836,6.595,10.29
TCGA-J4-A83K-01,TCGA,Prostate Adenocarcinoma,2.395,2.944,11.83,12.92,12.9,3.651,3.651,6.42,2.944,3.251
TCGA-2H-A9GF-01,TCGA,Esophageal Carcinoma,4.249,3.577,12.2,13.4,19.06,4.994,5.441,8.083,6.811,10.76
TCGA-HZ-7922-01,TCGA,Pancreatic Adenocarcinoma,4.575,8.534,11.79,12.32,13.36,5.775,5.695,5.654,9.089,9.721
GTEX-TSE9-1326-SM-5CHR5,GTEX,Esophagus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-13PL7-2726-SM-5L3GB,GTEX,Vagina,1.235,3.389,12.83,14.62,12.75,4.217,4.502,3.99,4.586,4.108
GTEX-ZVZQ-0006-SM-51MR8,GTEX,Whole Blood,9.458,11.21,5.81,13.69,10.77,7.927,9.278,5.81,1.909,1.909
GTEX-QV44-0526-SM-2S1RE,GTEX,Heart,4.257,3.569,9.919,13.96,12.23,3.044,3.569,5.533,0.0,1.491
GTEX-WY7C-0426-SM-3NB3C,GTEX,Lung,5.474,7.045,12.07,12.41,12.49,6.751,6.933,11.46,2.478,10.76
TCGA-DD-AACA-02,TCGA,Liver Hepatocellular Carcinoma,0.8421,0.8351,9.01,13.22,12.13,1.361,0.8421,1.752,8.177,12.11
TCGA-DD-AACA-01,TCGA,Liver Hepatocellular Carcinoma,2.566,3.844,11.02,12.53,12.7,3.006,5.029,0.0,7.664,10.86
GTEX-ZPCL-0004-SM-4WWD6,GTEX,Cells,11.1,14.87,4.229,12.37,8.783,0.0,10.0,1.127,7.886,1.127
GTEX-X5EB-0326-SM-4QASF,GTEX,Artery,3.636,8.346,10.81,11.13,11.62,6.288,5.631,6.06,3.259,3.793
TCGA-D3-A8GD-06,TCGA,Skin Cutaneous Melanoma,5.587,11.91,6.844,11.1,11.02,10.19,9.963,5.966,7.312,2.013
TARGET-30-PASFIC-01,TARGET,Neuroblastoma,4.788,7.14,10.27,13.25,10.98,2.881,3.653,3.275,3.585,1.961
GTEX-13G51-2126-SM-5IJD9,GTEX,Colon,2.696,1.245,11.09,10.91,11.18,2.353,1.245,6.701,1.903,4.124
TCGA-13-1485-01,TCGA,Ovarian Serous Cystadenocarcinoma,6.453,0.9572,11.65,12.33,12.72,4.441,3.919,6.833,8.137,4.561
TCGA-QG-A5YX-01,TCGA,Colon Adenocarcinoma,4.844,4.412,11.25,12.45,13.71,5.255,3.926,3.926,7.153,10.92
GTEX-Y5V6-2826-SM-4VDSF,GTEX,Artery,0.0,2.413,11.74,11.47,11.51,3.135,0.8993,4.5,2.819,4.051
TCGA-ZG-A9MC-01,TCGA,Prostate Adenocarcinoma,5.768,9.979,12.59,10.49,14.16,7.453,6.619,9.901,4.172,2.904
TCGA-DU-A7TI-01,TCGA,Brain Lower Grade Glioma,6.417,1.742,14.27,11.32,9.665,4.565,5.695,7.254,1.358,3.578
GTEX-TMZS-0001-SM-3P61Q,GTEX,Cells,12.24,14.4,3.479,12.06,8.824,3.107,9.377,2.603,8.998,0.8844
GTEX-T5JC-2426-SM-3NMDB,GTEX,Brain,3.393,4.074,9.724,11.54,8.954,2.059,1.638,5.569,0.0,4.161
TCGA-BR-8372-01,TCGA,Stomach Adenocarcinoma,5.929,7.506,11.6,12.84,13.07,8.408,8.468,7.799,8.103,12.86
GTEX-WOFM-0526-SM-4OOS2,GTEX,Esophagus,2.973,3.495,12.06,11.03,11.29,1.439,4.31,3.495,1.439,4.43
TCGA-HC-7742-01,TCGA,Prostate Adenocarcinoma,2.259,1.817,12.33,13.18,13.46,3.202,3.955,6.201,1.817,1.178
TCGA-DD-A3A6-11,TCGA,Liver Hepatocellular Carcinoma,0.0,0.0,11.51,12.18,10.96,0.0,1.548,0.0,6.284,9.065
TCGA-64-1679-01,TCGA,Lung Adenocarcinoma,6.82,3.094,13.09,13.89,13.78,5.846,4.717,7.33,5.389,7.139
TCGA-CV-5976-01,TCGA,Head & Neck Squamous Cell Carcinoma,4.917,1.408,17.01,11.91,12.81,5.422,4.689,7.429,6.377,8.297
GTEX-N7MS-2526-SM-26GMA,GTEX,Brain,2.299,0.0,8.881,10.4,7.777,0.0,0.0,2.299,0.0,11.5
TCGA-25-1315-01,TCGA,Ovarian Serous Cystadenocarcinoma,3.805,1.661,10.42,12.93,12.49,1.058,3.689,4.194,2.905,4.06
GTEX-13FTZ-2226-SM-5LZXI,GTEX,Muscle,3.157,1.575,10.48,14.75,11.16,2.795,2.31,7.083,0.0,0.0
GTEX-14AS3-1326-SM-5RQJE,GTEX,Ovary,0.0,3.081,11.14,11.8,11.23,0.0,2.801,2.454,0.0,2.454
TCGA-R6-A8WC-01,TCGA,Esophageal Carcinoma,4.436,0.6845,12.51,14.26,17.35,5.026,3.051,3.82,4.121,11.17
GTEX-1339X-0326-SM-5K7Z8,GTEX,Heart,3.142,4.058,10.18,13.1,12.9,3.878,8.04,8.295,0.0,2.297
TCGA-GE-A2C6-01,TCGA,Thyroid Carcinoma,5.786,7.818,12.44,13.16,13.18,7.692,8.068,10.02,4.705,4.855
TCGA-CV-6948-01,TCGA,Head & Neck Squamous Cell Carcinoma,4.239,5.026,13.78,12.76,12.13,6.572,6.238,5.291,6.238,10.55
TCGA-K7-AAU7-01,TCGA,Liver Hepatocellular Carcinoma,6.976,4.722,12.22,13.37,12.94,6.54,5.365,9.655,8.261,8.286
TCGA-CJ-6028-01,TCGA,Kidney Clear Cell Carcinoma,5.562,6.902,14.91,15.12,11.21,7.601,8.278,8.175,2.453,0.0
GTEX-11ONC-2826-SM-5P9GQ,GTEX,Pituitary,3.334,4.511,10.1,13.38,12.15,7.032,7.362,12.47,1.897,4.452
TCGA-E9-A1N6-11,TCGA,Breast Invasive Carcinoma,5.75,7.883,13.03,11.64,12.72,6.265,5.847,9.335,3.416,3.92
GTEX-N7MS-2526-SM-26GMR,GTEX,Brain,0.0,0.0,10.23,10.48,7.625,0.0,0.0,0.0,0.0,10.32
GTEX-ZP4G-0526-SM-4YCED,GTEX,Artery,6.129,6.485,11.55,10.86,11.8,4.5,5.899,10.58,0.0,2.356
TCGA-CZ-5456-01,TCGA,Kidney Clear Cell Carcinoma,3.928,7.082,14.38,15.45,11.81,4.304,6.296,8.264,4.439,0.0
GTEX-WH7G-0826-SM-4LVMR,GTEX,Pancreas,2.744,3.255,11.5,12.55,11.93,0.0,2.744,1.944,1.944,8.771
TCGA-EL-A3D0-01,TCGA,Thyroid Carcinoma,2.135,4.629,13.12,13.65,13.38,2.135,2.606,2.852,2.606,0.0
TCGA-EM-A22Q-01,TCGA,Thyroid Carcinoma,3.241,3.532,9.111,12.84,13.33,2.386,4.163,0.0,0.0,0.0
GTEX-1497J-1226-SM-5Q5BL,GTEX,Heart,4.615,2.399,10.22,13.06,12.06,4.177,4.847,5.451,1.649,2.399
TCGA-49-6744-01,TCGA,Lung Adenocarcinoma,6.058,8.268,12.14,11.19,13.2,7.664,7.722,6.605,5.691,6.503
TCGA-5P-A9KA-01,TCGA,Kidney Papillary Cell Carcinoma,6.824,5.44,11.56,10.37,13.65,5.888,5.295,5.44,5.693,0.8732
GTEX-QLQ7-0826-SM-447B3,GTEX,Stomach,4.129,7.591,11.09,12.99,12.12,5.173,6.11,4.129,3.5,5.535
TCGA-78-7154-01,TCGA,Lung Adenocarcinoma,2.688,6.271,11.43,12.36,13.72,4.62,5.563,8.995,3.333,11.34
TCGA-ZN-A9VU-01,TCGA,Mesothelioma,4.361,5.486,14.08,11.85,12.24,5.001,6.982,10.11,1.887,7.614
TCGA-Q3-A5QY-01,TCGA,Pancreatic Adenocarcinoma,6.865,13.51,10.19,11.62,11.48,9.611,8.908,10.24,8.628,8.13
GTEX-WYBS-1026-SM-4ONCY,GTEX,Adipose,7.879,7.276,12.31,13.26,11.16,6.51,7.423,6.807,2.711,5.59
GTEX-ZPCL-1426-SM-57WEC,GTEX,Esophagus,5.621,5.015,12.75,13.67,13.57,5.306,5.511,4.342,1.77,6.742
GTEX-11NV4-1326-SM-5HL6V,GTEX,Liver,6.556,8.032,12.12,14.21,12.75,3.991,4.425,3.991,3.991,13.46
TCGA-AJ-A3BI-01,TCGA,Uterine Corpus Endometrioid Carcinoma,3.781,1.496,8.457,11.01,12.13,7.373,5.595,2.215,4.514,7.317
TCGA-W2-A7UY-01,TCGA,Pheochromocytoma & Paraganglioma,6.85,0.0,8.91,12.79,7.503,1.384,2.895,5.67,2.895,0.0
TCGA-BH-A204-11,TCGA,Breast Invasive Carcinoma,4.676,4.556,13.55,11.97,11.38,3.49,3.088,10.86,1.899,2.53
TCGA-E3-A3E2-01,TCGA,Thyroid Carcinoma,5.003,12.05,12.32,13.29,13.8,7.283,8.372,5.4,5.081,0.6756
GTEX-132QS-0326-SM-5IJFN,GTEX,Thyroid,1.9,4.043,11.4,14.98,12.87,4.331,5.392,5.835,1.497,2.215
TCGA-FB-A545-01,TCGA,Pancreatic Adenocarcinoma,5.12,4.556,11.72,14.69,12.85,4.067,3.477,4.973,6.191,8.885
TCGA-44-2657-11,TCGA,Lung Adenocarcinoma,8.329,12.62,11.59,12.23,12.55,8.21,9.323,8.599,5.364,10.02
TCGA-G4-6320-01,TCGA,Colon Adenocarcinoma,3.553,7.581,11.67,12.76,13.42,4.431,4.752,2.452,6.349,11.47
GTEX-X585-0008-SM-46MU4,GTEX,Cells,0.0,0.0,12.66,11.3,11.87,1.84,0.0,8.898,0.0,4.043
TCGA-EB-A41A-01,TCGA,Skin Cutaneous Melanoma,4.176,5.251,6.58,9.927,11.13,5.232,4.214,4.426,0.5733,3.29
GTEX-Z93S-1626-SM-5CVMB,GTEX,Skin,4.553,3.613,13.57,12.39,13.66,4.369,4.553,1.929,3.237,7.498
TCGA-55-6982-01,TCGA,Lung Adenocarcinoma,5.617,8.17,12.66,12.64,12.35,6.496,6.793,5.198,6.179,9.589
GTEX-139T8-0011-R1a-SM-5HL75,GTEX,Brain,0.0,1.89,10.4,10.51,9.567,3.189,0.0,7.227,0.0,1.89
TARGET-50-PAJNTJ-01,TARGET,Wilms Tumor,2.393,2.239,11.89,10.96,13.15,0.615,4.992,1.645,3.666,2.239
GTEX-12WSD-2826-SM-59HKT,GTEX,Uterus,1.653,5.742,11.4,14.51,11.61,4.418,4.681,5.383,0.0,1.051
TCGA-RC-A7SH-01,TCGA,Liver Hepatocellular Carcinoma,1.573,2.985,11.32,12.03,13.05,4.568,7.619,1.987,5.89,12.68
GTEX-11ZUS-0011-R11b-SM-5BC7B,GTEX,Brain,1.744,3.009,7.253,10.23,7.412,3.009,0.0,0.0,0.0,9.957
TCGA-CE-A484-01,TCGA,Thyroid Carcinoma,2.304,3.15,10.35,14.94,12.1,3.439,7.309,0.0,2.099,0.0
TCGA-E2-A153-11,TCGA,Breast Invasive Carcinoma,4.736,6.298,12.67,11.95,13.77,4.694,4.197,8.238,6.641,7.719
GTEX-ZPU1-1026-SM-4YCEQ,GTEX,Spleen,8.7,14.41,9.726,14.44,8.974,6.994,7.974,5.935,3.436,1.156
GTEX-Y9LG-0226-SM-4VBS4,GTEX,Artery,4.683,3.319,11.53,9.445,11.8,4.406,6.095,5.555,0.0,4.063
GTEX-13PVQ-0726-SM-5L3GI,GTEX,Thyroid,1.208,5.077,11.11,15.14,12.84,4.834,6.878,10.91,1.208,0.0
GTEX-OHPL-1626-SM-2HMIR,GTEX,Muscle,0.0,2.092,11.91,14.23,11.09,3.635,3.971,5.688,1.396,0.0
GTEX-POYW-0006-SM-2XCF4,GTEX,Whole Blood,7.987,12.38,8.16,12.96,8.422,6.832,7.081,5.626,0.0,6.034
TCGA-DD-A3A5-11,TCGA,Liver Hepatocellular Carcinoma,1.957,3.27,12.33,12.55,11.71,1.287,3.036,4.827,7.454,10.26
TCGA-AR-A0TX-01,TCGA,Breast Invasive Carcinoma,6.475,9.222,10.19,11.09,18.01,7.48,7.498,4.301,4.904,4.343
TCGA-CD-8528-01,TCGA,Stomach Adenocarcinoma,4.27,2.183,16.93,11.51,11.97,5.298,4.874,3.539,3.805,11.95
GTEX-12584-0926-SM-5FQTN,GTEX,Heart,9.236,3.668,10.87,14.75,11.8,3.912,6.107,9.891,0.0,3.374
GTEX-PLZ6-0626-SM-5K7WJ,GTEX,Esophagus,2.421,2.421,12.87,11.39,11.71,1.063,2.914,3.815,1.063,4.022
GTEX-11DYG-0006-SM-5NQB2,GTEX,Whole Blood,9.429,10.58,4.019,13.99,10.8,8.358,10.05,5.138,2.264,2.264
TCGA-CM-6164-01,TCGA,Colon Adenocarcinoma,4.349,4.214,11.57,12.54,13.21,5.419,5.985,4.432,7.688,10.88
TCGA-C5-A1ME-01,TCGA,Cervical & Endocervical Cancer,8.117,5.411,9.53,10.97,13.63,6.779,6.924,5.382,6.35,8.225
TCGA-09-0369-01,TCGA,Ovarian Serous Cystadenocarcinoma,3.867,1.666,10.74,12.49,13.79,4.158,2.419,4.777,1.395,4.575
GTEX-Y5LM-0426-SM-4VBRO,GTEX,Liver,2.941,5.543,12.16,13.18,11.09,2.447,2.447,2.941,4.849,11.59
TCGA-E2-A2P6-01,TCGA,Breast Invasive Carcinoma,5.8,4.442,7.679,11.45,14.15,4.237,3.945,4.517,3.269,2.488
GTEX-YB5E-1026-SM-5IFI2,GTEX,Esophagus,2.19,0.0,12.81,11.38,11.9,1.129,3.547,5.047,1.129,3.219
TCGA-VD-A8KF-01,TCGA,Uveal Melanoma,3.872,0.0,7.001,9.337,11.27,0.7806,3.153,1.285,0.0,2.753
GTEX-ZYW4-1426-SM-5SIAX,GTEX,Esophagus,1.869,3.834,12.1,11.47,11.3,3.362,4.08,8.606,1.218,1.869
GTEX-Y5V5-2126-SM-4WWFO,GTEX,Breast,4.064,4.766,13.09,12.02,12.14,5.066,4.589,8.123,2.376,2.376
GTEX-ZT9X-1826-SM-57WDU,GTEX,Muscle,0.0,1.915,11.11,12.2,10.45,2.366,0.0,5.314,0.0,0.0
TCGA-EL-A4JZ-01,TCGA,Thyroid Carcinoma,3.881,5.459,11.38,13.65,13.24,7.266,8.026,5.002,6.566,2.672
GTEX-R53T-1626-SM-3GAEW,GTEX,Adipose,1.789,5.473,12.38,12.4,9.301,3.818,0.8631,7.173,0.0,2.096
TCGA-M7-A722-01,TCGA,Prostate Adenocarcinoma,1.667,0.0,10.07,10.82,14.12,4.438,2.092,0.0,0.0,0.0
GTEX-13O3P-0226-SM-5KM3Z,GTEX,Adipose,3.327,5.718,11.83,14.88,9.439,3.798,4.599,10.42,0.0,0.0
GTEX-RU1J-0006-SM-2TF6M,GTEX,Whole Blood,7.636,11.03,4.847,9.534,7.006,5.989,5.633,2.161,0.0,7.686
TCGA-CV-A6K0-01,TCGA,Head & Neck Squamous Cell Carcinoma,8.508,8.083,14.82,10.31,12.77,8.645,7.432,8.192,5.336,7.158
GTEX-Y114-1926-SM-4TT8J,GTEX,Vagina,1.041,4.325,12.42,11.67,11.24,3.776,4.4,8.468,0.0,3.396
TCGA-24-1419-01,TCGA,Ovarian Serous Cystadenocarcinoma,4.984,0.0,9.408,13.19,12.85,0.0,4.734,2.591,0.5872,3.006
TCGA-BH-A1EN-01,TCGA,Breast Invasive Carcinoma,3.783,1.376,8.198,11.09,18.16,2.068,2.884,3.167,8.693,0.6153
GTEX-ZF3C-2026-SM-4WWB5,GTEX,Pancreas,3.636,4.886,11.55,13.97,12.59,4.955,4.886,4.886,5.019,8.875
TARGET-50-PAJLTI-01,TARGET,Wilms Tumor,2.951,5.143,11.01,11.53,11.99,2.333,5.143,2.819,2.675,5.795
TCGA-AO-A1KT-01,TCGA,Breast Invasive Carcinoma,6.568,5.127,8.518,12.25,13.67,5.127,3.391,8.347,6.67,3.642
